Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
12373,125932,Brother LC980 / 1100 aanbiedingsdoosje ** voorraadsysteem **,Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,7.0,9.0,4.0,8718237000794,871823700079.0,8718237000794.0
3536,010005,Canon BC-02 inktcartridge zwart (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,8718237000800,871823700080.0,8718237000800.0
3537,010055,Canon BC-05 inktcartridge kleur (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,8.0,1.0,7.0,8718237000817,871823700081.0,8718237000817.0
3538,010205,Canon BC-20 inktcartridge zwart (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,8.0,2.0,4.0,8718237000824,871823700082.0,8718237000824.0
2077,011911,Canon BCI-10 reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,8.0,3.0,1.0,8718237000831,871823700083.0,8718237000831.0
2078,011931,Canon BCI-11BK reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,8.0,4.0,8.0,8718237000848,871823700084.0,8718237000848.0
2082,011951,Canon BCI-11C reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,8.0,5.0,5.0,8718237000855,871823700085.0,8718237000855.0
5123,014042,Canon BCI-15BK reinigingscartridge zwart,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,8.0,6.0,2.0,8718237000862,871823700086.0,8718237000862.0
5124,014052,Canon BCI-15C reinigingscartridge kleur,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,8.0,7.0,9.0,8718237000879,871823700087.0,8718237000879.0
6956,014062,Canon BCI-16 reinigingscartridge kleur,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,8.0,8.0,6.0,8718237000886,871823700088.0,8718237000886.0
1977,013510,Canon BCI-24BK inktcartridge zwart  (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,8.0,9.0,3.0,8718237000893,871823700089.0,8718237000893.0
2093,013511,Canon BCI-24BK reinigingscartridge zwart,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,9.0,0.0,9.0,8718237000909,871823700090.0,8718237000909.0
1978,013530,Canon BCI-24C inktcartridge kleur (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,9.0,1.0,6.0,8718237000916,871823700091.0,8718237000916.0
2094,013531,Canon BCI-24C reinigingscartridge kleur,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,9.0,2.0,3.0,8718237000923,871823700092.0,8718237000923.0
12368,120101,Canon BCI-3BK + BCI 6 BK/C/M/Y (5) aanbiedingsdoosje ** voorraadsysteem **,Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,9.0,3.0,0.0,8718237000930,871823700093.0,8718237000930.0
12367,120001,Canon BCI-3BK + BCI 6 C/M/Y (4) aanbiedingsdoosje ** voorraadsysteem **,Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,9.0,4.0,7.0,8718237000947,871823700094.0,8718237000947.0
73,014010,Canon BCI-61 inktcartridge kleur (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,9.0,5.0,4.0,8718237000954,871823700095.0,8718237000954.0
5128,014011,Canon BCI-61 reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,9.0,6.0,1.0,8718237000961,871823700096.0,8718237000961.0
58,014030,Canon BCI-62 inktcartridge foto kleur (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,9.0,7.0,8.0,8718237000978,871823700097.0,8718237000978.0
5129,014031,Canon BCI-62 reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,9.0,8.0,5.0,8718237000985,871823700098.0,8718237000985.0
2163,011600,Canon BCI-8BK inktcartridge zwart (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,9.0,9.0,2.0,8718237000992,871823700099.0,8718237000992.0
2164,011610,Canon BCI-8C inktcartridge cyaan (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,5.0,8718237001005,871823700100.0,8718237001005.0
2165,011620,Canon BCI-8M inktcartridge magenta (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,1.0,0.0,1.0,2.0,8718237001012,871823700101.0,8718237001012.0
2169,011660,Canon BCI-8PBK inktcartridge foto zwart (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,1.0,0.0,2.0,9.0,8718237001029,871823700102.0,8718237001029.0
2167,011640,Canon BCI-8PC inktcartridge foto cyaan (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,1.0,0.0,3.0,6.0,8718237001036,871823700103.0,8718237001036.0
2168,011650,Canon BCI-8PM inktcartridge foto magenta (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,1.0,0.0,4.0,3.0,8718237001043,871823700104.0,8718237001043.0
2170,011670,Canon BCI-8WF optimizer (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,1.0,0.0,5.0,0.0,8718237001050,871823700105.0,8718237001050.0
2166,011630,Canon BCI-8Y inktcartridge geel (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,1.0,0.0,6.0,7.0,8718237001067,871823700106.0,8718237001067.0
36,015010,Canon BJI-201BK inktcartridge zwart (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,1.0,0.0,7.0,4.0,8718237001074,871823700107.0,8718237001074.0
2098,015011,Canon BJI-201BK reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,1.0,0.0,8.0,1.0,8718237001081,871823700108.0,8718237001081.0
37,015030,Canon BJI-201C inktcartridge cyaan (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,1.0,0.0,9.0,8.0,8718237001098,871823700109.0,8718237001098.0
2105,015031,Canon BJI-201C reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,1.0,1.0,0.0,4.0,8718237001104,871823700110.0,8718237001104.0
43,015050,Canon BJI-201M inktcartridge magenta (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,8718237001111,871823700111.0,8718237001111.0
2109,015051,Canon BJI-201M reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,1.0,1.0,2.0,8.0,8718237001128,871823700112.0,8718237001128.0
44,015070,Canon BJI-201Y inktcartridge geel (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,1.0,1.0,3.0,5.0,8718237001135,871823700113.0,8718237001135.0
2110,015071,Canon BJI-201Y reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,1.0,1.0,4.0,2.0,8718237001142,871823700114.0,8718237001142.0
